1,	14.57021336864691, 120.99163733765526
2,	14.562362294376543, 120.99528299285187
3,	14.569596302497787, 120.99112521511259
4,	14.565512028868278, 120.99300006422125
5,	14.570997114117317, 120.99220004717475
6,	14.562975163640523, 120.99605774481574
7,	14.56844503446386, 120.99157899521873
8,	14.568118149130736, 120.99172843960021
9,	14.567302380079187, 120.99206917279
10,	14.566405609184073, 120.99253245037433
11,	14.566709354567994, 120.99318701676522
12,	14.565777867388626, 120.99370409432997
13,	14.564429807536426, 120.99442740513803
14,	14.56611632744441, 120.9945469606432
15	14.565424942627105, 120.99488171605773
16,	14.565433621111064, 120.99489367160827